word;translation
de man;man
de vrouw;woman
ik;I
zijn;to be
een;a, one
de jongen;boy
en;and
ze;she, they
het kind;child
zij;she, they
hij;he
het meisje;girl
eten;to eat
drinken;to drink
de appel;apple
de melk;milk
het sap;juice
het water;water
het brood;bread
of;or
jij;you (singular informal stressed)
je;you (singular informal unstressed)
wij;we (stressed)
de boterham;sandwich
de rijst;rice
we;we (unstressed)
jullie;you (plural)
vrouwen;women
mannen;men
meisjes;girls
de krant;newspaper
jongens;boys
het menu;menu
dat;that
het;it
hebben;to have
het boek;book
lezen;to read
spreken;to speak
kinderen;children
hallo;hello
bedankt;thanks
dag;bye
doei;bye
tot ziens;goodbye, see you later
hoi;hi
goedendag;good day
goedemorgen;good morning
goedenavond;good evening
welterusten;good night (rest well)
ja;yes
danken;to thank
nee;no
alsjeblieft;please (informal)
alstublieft;please (formal)
dank je wel;thank you (informal)
wel;well, really
misschien;maybe, possibly, perhaps
niet;not
sorry;sorry
oké;okay
pardon;excuse me
het spijt me;I'm sorry
goed;good, fine, well
hoe;how
gaan;gaan
hoe gaat het?;how are you?
geen;no/none/not/nobody (negation)
Engels;English
Nederlands;Dutch
de vis;fish (singular)
de sinaasappel;orange (fruit)
de wijn;wine
de koffie;coffee
het ei;egg
de kip;chicken
het bord;board, plate
de suiker;sugar
het middageten;lunch
het ontbijt;breakfast
de kaas;cheese
het fruit;fruit
de pasta;pasta
de lunch;lunch
het bier;beer (uncountable)
het rundvlees;beef
de soep;soup
de tomaat;tomato
de aardbei;strawberry
de citroen;lemon
de limoen;lime
het avondeten;dinner, supper
het vlees;meat
de maaltijd;meal
de thee;tea
het varkensvlees;pork
de vegetariër;vegetarian
het eten;food, eating
de groente;vegetable
de peper;pepper
de dorst;thirst
dorst hebben;to be thirsty
de olie;oil
de honger;hunger
honger hebben;to be hungry
de banaan;banana
het zout;salt
lekker;tasty, nice, delicious
de kat;cat
het dier;animal
de hond;dog
het paard;horse
de vogel;bird
de beer;bear
de muis;mouse
de krab;crab
de spin;spider
de olifant;elephant
de eend;duck
de schildpad;turtle
het konijn;rabbit
de koe;cow
de neushoorn;rhinoceros
de hoorn;horn
het schaap;sheep (singular)
het hert;deer
de staart;tail
de gans;goose
de uil;owl
eenden;ducks
schildpadden;turtles
honden;dogs
kranten;newspapers
boeken;books
paarden;horses
boterhammen;sandwiches
borden;plates, boards
appels;apples
katten;cats
vogels;birds
olifanten;elephants
menu's;menus
dieren;animals
muizen;mice
koeien;cows
aardbeien;strawberries
schapen;sheep (plural)
je, jouw;your (singular informal)
mijn;my
uw;your (singular formal)
zijn;his, its (adjective)
haar;her
ons;our (het- nouns)
onze;our (de- nouns)
jullie, je;your (plural)
hun;their
van mij;mine
van jou;yours (singular informal)
van u;yours (singular formal)
van hem;his, its (pronoun)
van ons;ours
van jullie;yours (plural)
van hen;theirs
groot;big, large, great
klein;small
lang;long, tall
snel;fast
langzaam;slow
kort;short
zacht;soft
zwaar;hard, heavy
licht;light
sterk;strong
zwak;weak
jong;young
oud;old
zoet;sweet
zuur;sour
slecht;bad
belangrijk;important
moeilijk;difficult
goedkoop;cheap
interessant;interesting
gratis;free of charge
vol;full
leeg;empty
duur;expensive
vers;fresh
warm;warm, hot
het warm hebben;to feel warm/hot
koud;cold
het koud hebben;to feel cold
rustig;quiet
nat;wet
droog;dry
schoon;clean
net zoals;just like
dragen;to wear
de schoen;shoe
de jurk;dress
de jas;coat
de rok;skirt
het rokje;(small) skirt
kleren;clothes
de klomp;clog (footwear)
de broek;trousers (singular)
de hoed;hat
het pak;suit
u;you (formal)
de meneer;mister
de mevrouw;madam
lopen;to walk
schrijven;to write
zwemmen;to swim
koken;to cook
slapen;to sleep
houden van (iets);to like / to love (something)
spelen;to play
willen;to want
graag;gladly
horen;to hear
zien;to see
betalen;to pay
rennen;to run
kennen;to know (a person)
steunen;to support
heten;to be called
pijpenstelen regenen;to rain cats and dogs
aanraken;to touch
luisteren;to listen
nodig hebben;to be in need of
gebruiken;to use
nemen;to take
ontwerpen;to design
gaan;to go
fietsen;to bike
zeggen;to say
werken;to work
tonen;to show
staan;to stand / to be placed or located
genoeg;enough
iedereen;everyone
iemand;someone
iets;something, somewhat
men;one (3rd person pronoun)
niemand;nobody, no one
niets;nothing
wat;what
veel;a lot, many
weinig;little, few
alle;all
sommige;some
alles;everything
verscheidene;several
verschillende;different
een paar;a couple
elke;each, every
enig;some, any
enkele;a few, some
ieder;each, any
haar;her
hem;him
mij;me (stressed)
me;me (unstressed)
jou;you (object, stressed)
ons;us
ze;them (unstressed)
hun;their
hun / hen;them (stressed)
oranje;orange (color)
groen;green
grijs;gray
roze;pink
wit;white
bruin;brown
blauw;blue
geel;yellow
zwart;black
de kleur;color
rood;red
kleurrijk;colorful
paars;purple
de vlag;flag
in;in
bij;at / by
tussen;between
aan;on, to, at
Nederland;the Netherlands
zitten;to sit
wonen;to live (at a place)
België;Belgium
voor;for, before
op;up, onto, on, upon
komen;to come
uit;from, out
vlakbij;near, close, nigh
naar;to
met;with
zonder;without
van;from
toe;towards
krijgen;to get, to receive
na;after
het station;station
liggen;to lie (down), to be (located)
naast;next to, beside
tijdens;during
door;through
vanwege;because of
dichtbij;near, close
achter;behind
tegen;against
terwijl;while, during
over;about, over
onder;under
mee;with (+verb)
behalve;except
wat;what
welk;which
waarom;why
waar;where
hoeveel;how much / how many
hoe;how
het antwoord;answer
de vraag;question
wie;who
wiens;whose
